,review
0,"두 번째 방문입니다.고기 직접 구워주시는 것도 진짜 좋지만,일단 고기 자체가 다 신선하고 너무너무 맛있어요.회사 회식으로 오고 있지만,언젠간 가족들도 꼭 모시고 오고 싶어요.집에서 멀다는게 유일한 단점이네요ㅜㅜ"
1,서울에 데이트하러 왔다가 방문 했습니다☺️ 직원분들 친절하게 자리 안내해주셨고 고기도 질이 너무 좋고 입에서 사르르 녹아요~ 밑반찬도 다 맛있고 서비스도 잘 챙겨주셨어요😋
2,"친구가 방송에서 보고 가고싶다고 해서 예약했는데 3층짜리 건물인데도 한 자리 남아서 겨우 방문했습니다.벽돌갈비 진~~~짜 맛있어요 맛잇게 구워주시는데 그냥 입에서 사라집니다;; 그리고 곁들일 찬들이 많아서 눈돌아가요. 콜키지도 가능해서 가져온 와인이랑 잘 먹었네요. 양념갈비랑 냉면도 먹었는데 핵맛도리입니다. (비냉이 더 맛있었어요.) 마무리로 된장술밥까지 해서 먹었는데 진짜진짜 잘 먹었어요. 나중에 부모님 모시고 오고 싶단 생각 들었슴,,아 그리고 옷이랑 가방 넣을수있는 락커 있어서 좋았어요. 냄새 아예 안뱁니다 ㅎ👍🏻"
3,"두번째 방문이었답니다홍벽갈비(레드카펫갈비) 풍미와 육즙, 육향 아주 대박 만족. 홍벽갈비 사이주 특대 생갈비 👍👍👍칡물냉면과 비냉도 오랜만에 먹으니 맛있더라구요. 모임이나 회식장소로 굿. 룸도 많음"
4,엄마가 TV에 나오는걸보시고이집은 꼭 가봐야겠다하시고내일부터는 손님이 더 많아질까봐언능와봤어요😁벽돌갈비 큐브모양의 LA갈비를육즙 가득하게 맛있게 구워주셔서 너무 잘먹었어요 울 식구들 고기파도아닌뎅ㅎ 너무 맛있게 잘~~~먹었어요!!!반찬 하나하나 신경을 많이 쓰신듯다 맛있었어요 이집은 저장이예요 📸
5,"갈비 주문 3 + 1 에다 인원수 만큼의 냉면 서비스 등 다양하고 핫한 서비스가 있는 숯불구이 전문점 1~3층 규모에 룸을 갖추어 가족외식이나 단체회식 장소로 딱이면서 미국 금융 중심지 월가처럼 갈비 중심지 월가갈비라는 생각이 들더군요. 240시간 숙성된 삼겹살, 목살, 항정살의 흑돼지 스페셜 700g을 주문했더니 기본으로 나오는 소고기뭇국, 숙주야채무침, 감자전에다 다양한 반찬과 소스, 후식 아이스크림까지 대접 받는 느낌이 들어 좋았습니다."
6,"리뷰가 많아서 맛이 궁금해서 찾아왔는데사람들이 찾는 이유를 알겠어요.우서 가게 내부가 테이블간의 간격이 넓어서 답답한 느낌이 전혀 없고 , 주 메인 메인인 한정판매로 파는 레드카펫갈비의 소고기가 야들야들하고 즐기지 않아서 맛있어요. 곁들어서 나온 반찬들도 자극적이지 않아서 맛있어요. 추가로 시킨 벽돌갈비도 괜찮아요. 3명이서 방문 하면 주메뉴 시키고 추가로 벽돌갈비 추천해요."
7,리뷰보고  숙소  근처갔어요.너무  덥고~~~~~~~~~~앉아있는데의자에  허벅지에  땀이  ㅜㅜ직원들   소스에  설명이  없음.물어봐야  알려줌.고추.마늘 필요한  사람만 줌.난필요해서  애기했는데  ㅎ고추만 줌~~~ㅋ  ㅋ관광지라서  그런가??고기는   직접구워줌.추가 단품시키면  직접구워먹으라고함.된장찌개  약간  젓갈냄새??  사람마다  스타일  다르니고기  식감도~~~~~~~~~~~~ㅜ
8,최근 먹었던 소고기 집 중에 손 꼽는 맛집이에요😆 네모난 벽돌갈비는 나올 때부터 테트리스처럼 차곡차곡 쌓여서 나오는데 너무 신기했어요. 소갈비라 맛은 말할 것도 없고 직원 분이 친절하게 하나하나 구워주셔서 편하게 먹고 갔습니다🥰
9,고기 질이 좋아요 여자외국인직원분은 친절하시고 고기를 잘 구워줬어요 맛있게 먹었어요
10,"지인 소개로 오게 된 집인데 너무 맛있어요~직접 구워줘서 편하고, 고기도 사르르 녹네욯ㅎㅎ"
11,단체식사 일정이 있어 사전에 예약하고 갔는데준비도 꼼꼼하게 잘 챙겨주시고음식도 맛있고 다들 만족했습니다!친절하게 응대해주셔서 감사합니다! :)
12,2주전 벽돌갈비 먹고 맛있어서 다시 재방문했습니다점심특선 돼지갈비 먹었는데 연하고 간이 딱 떨어져서맛있어요네이버예약으로 받은 무료 하이볼도 맛있어요
13,"일단 최고는 홍벽갈비였어요눈도 입도 완전 대만족씹는 맛도 좋고 끝맛까지 고소했어요기본으로 나오는 소고기뭇국이 또 하나의 베스트에요멀건 국물이 아니라 육즙이 살아있는 국이라고나 할까?추가로 벽돌갈비를 먹을까 양념을 먹을까 하다가 양념을 선택했는데, 요건 뭔가 아쉬워요저 뿐만 아니라 같이 간 친구들이 다 같은 의견콜키지가 1병은 무료라 와인과 함께 즐거운 식사였습니다"
14,평소에 점심에 자주 먹으러 오는데 저녁에 부모님 모시고 방문했어요!! 반찬도 너무 정갈하게 나와서 자리 안내받자마자 기분이 좋아지네요!! 고기도 맛있고 돼지갈비 벽돌갈비 다 구워주셔서 식사동안 너무 편안했네요!! 부모님도 대만족!!!
15,갈비도 직접 잘 구워주셔서 편하고 맛있게 잘 먹었습니다~고층빌딩이 보이는 외관뷰도 멋지고 인테리어도 굿!!  고기도 정말 부드럽고 맛있어요!!
16,벽돌 소갈비 정말 맛있었습니다!!!!다음에 소중한 분들과 또 올게요
17,돼지양념갈비 먹으러 왔습니다😋요새 브레이크타임 있는 가게가 많은데 여기는 공휴일엔 브레이크타임이 없어서 안기다리고 바로 먹을 수 있었어요!직원분들도 다들 친절하시고 깨끗해서 다음에 또 올 것 같아요!
18,생일 맞아 특별한 메뉴를 먹고 싶어 웰가갈비에 방문했어요.맛은 물론이고 너무 친절한 직원분들이 계셔서 기분좋게 맛있게 먹고갑니다.혼잡하지 않고 적당한 손님들 시청역에 이런곳이 있었다니 너무 좋네요.다음에 또 재방문 10000퍼입니다!!
19,시청역 고기집 중 최고 맘에 들었던 맛집월가갈비!기본 탕이 갈비탕인데 기본찬도 엄청 다양하고 하나같이 다 맛있어서 주변 직장인분들 꼭 고기아니어도 점심 식사하기도 좋을 것 같았어요!점심 특선은 딱 점심 식사로 알맞은 양의 고기와 식사냉면인데 가성비가 좋아서 남자친구 어머님이랑 식사했는데분위기도 고기 맛도 다 만족스러워서 월가갈비로 선택한 제가 뿌듯해지더라구요❤️벽돌갈비 도톰한 고기에 질이 너무 좋아서 사르르 녹아버리는 맛에 또 방문할 것 같아요!!
20,양 많고 푸짐합니다. 밑반찬도 좋아요~위치가 지하철이랑도 가까워서 찾기 쉬웠어요.직원분도 친절하시고매장도 넓고 쾌적해서 단체 모임하기도 좋을거 같아요.고급 고깃집인데 가격이 그리 비싼건 아니라분위기 내기 좋네요.무엇보다 음식 하나하나 맛나서 재방문 계획입니다~
