일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20240614,79600,1000,1.27,79700,80500,79000,22926612,1.83028E+12,4.75195E+14,5969782550
20240613,78600,2100,2.75,78400,79000,77800,33763804,2.64877E+12,4.69225E+14,5969782550
20240612,76500,1300,1.73,75300,77100,75200,19246725,1.46042E+12,4.56688E+14,5969782550
20240611,75200,-500,-0.66,75900,76000,75100,16971175,1.28083E+12,4.48928E+14,5969782550
20240610,75700,-1600,-2.07,76100,76600,75600,14598755,1.10935E+12,4.51913E+14,5969782550
20240607,77300,-100,-0.13,78400,78600,77100,21189349,1.6453E+12,4.61464E+14,5969782550
20240605,77400,2100,2.79,78000,78000,76800,23177968,1.79424E+12,4.62061E+14,5969782550
20240604,75300,-400,-0.53,74900,76100,74900,14098053,1.06575E+12,4.49525E+14,5969782550
20240603,75700,2200,2.99,74400,76400,74200,15706268,1.18666E+12,4.51913E+14,5969782550
20240531,73500,0,0,74500,74700,73500,26198776,1.93596E+12,4.38779E+14,5969782550
20240530,73500,-1700,-2.26,74800,75200,73500,28551273,2.11778E+12,4.38779E+14,5969782550
20240529,75200,-2400,-3.09,77700,78200,75200,30244875,2.31201E+12,4.48928E+14,5969782550
20240528,77600,400,0.52,76500,78000,76200,18539072,1.43671E+12,4.63255E+14,5969782550
20240527,77200,1300,1.71,75300,78200,74000,43825202,3.30663E+12,4.60867E+14,5969782550
20240524,75900,-2400,-3.07,76800,77000,75700,27891278,2.12729E+12,4.53106E+14,5969782550
20240523,78300,600,0.77,77700,79100,77100,18728087,1.46238E+12,4.67434E+14,5969782550
20240522,77700,-700,-0.89,78100,78700,77300,19521506,1.52259E+12,4.63852E+14,5969782550
20240521,78400,-500,-0.63,78500,79000,78200,13690583,1.07483E+12,4.68031E+14,5969782550
20240520,78900,1500,1.94,78100,79100,77900,19456783,1.52802E+12,4.71016E+14,5969782550
20240517,77400,-800,-1.02,78600,78800,77200,15918201,1.23764E+12,4.62061E+14,5969782550
